wardNo,wardIndex,wardName,totalPopulation,area(sq km)
1,0,33503,162,1.6834935
2,1,33510,29574,19.2436257
3,2,33511,58833,41.1549411
4,3,33527,15092,80.4709893
5,4,33534,17123,32.0122764
6,5,33547,25907,370.627569
7,6,33548,7222,20.2278219
8,7,33549,17998,30.4323825
9,8,33556,23182,94.8454338
10,9,33558,24248,45.0140262
11,10,33559,18473,32.7374736
12,11,33563,28033,38.2541523
13,12,33565,17864,226.7277246
14,13,33566,21505,59.4402705
15,14,33567,12195,109.0903788
16,15,33569,28442,37.6325547
17,16,33570,29967,102.045606
18,17,33572,20380,40.7664426
19,18,33573,23170,45.6874236
20,19,33578,52486,55.8142845
21,20,33579,36005,55.2703866
22,21,33584,26798,55.3998861
23,22,33592,11546,126.9613098
24,23,33594,34941,26.9099961
25,24,33596,30830,30.2510832
26,25,33598,20053,280.2887178
27,26,33602,15586,6.6044745
28,27,33603,21366,10.7225586
29,28,33604,39604,19.2695256
30,29,33605,17655,20.2796217
31,30,33606,20576,8.4951672
32,31,33607,24384,23.3876097
33,32,33609,18367,11.3182563
34,33,33610,46799,46.2313215
35,34,33611,33070,16.5241362
36,35,33612,51745,26.4696978
37,36,33613,36270,19.0364265
38,37,33614,49060,25.3301022
39,38,33615,47512,22.3257138
40,39,33616,16781,9.841962
41,40,33617,47441,22.273914
42,41,33618,27352,22.4293134
43,42,33619,40092,68.8678341
44,43,33620,5318,2.3050911
45,44,33624,39803,23.2322103
46,45,33625,27305,23.6984085
47,46,33626,30743,35.3274636
48,47,33629,27061,12.4578519
49,48,33634,22719,21.2897178
50,49,33635,18650,14.7370431
51,50,33637,17555,20.0983224
52,51,33647,71004,87.7747611
