wardNo,wardIndex,wardName,Employed,Unemployed,totalWorkforce
1,0,33503,126,8.946,134.946
2,1,33510,18935,1344.385,20279.385
3,2,33511,38392,2725.832,41117.832
4,3,33527,9796,695.516,10491.516
5,4,33534,10424,740.104,11164.104
6,5,33547,14379,1020.909,15399.909
7,6,33548,4270,303.17,4573.17
8,7,33549,11344,805.424,12149.424
9,8,33556,13711,973.481,14684.481
10,9,33558,14373,1020.483,15393.483
11,10,33559,12705,902.055,13607.055
12,11,33563,17022,1208.562,18230.562
13,12,33565,10555,749.405,11304.405
14,13,33566,13131,932.301,14063.301
15,14,33567,7777,552.167,8329.167
16,15,33569,17215,1222.265,18437.265
17,16,33570,17570,1247.47,18817.47
18,17,33572,12439,883.169,13322.169
19,18,33573,5826,413.646,6239.646
20,19,33578,34612,2457.452,37069.452
21,20,33579,23105,1640.455,24745.455
22,21,33584,16668,1183.428,17851.428
23,22,33592,7000,497,7497
24,23,33594,22027,1563.917,23590.917
25,24,33596,18790,1334.09,20124.09
26,25,33598,11606,824.026,12430.026
27,26,33602,11349,805.779,12154.779
28,27,33603,14099,1001.029,15100.029
29,28,33604,26739,1898.469,28637.469
30,29,33605,10622,754.162,11376.162
31,30,33606,15622,1109.162,16731.162
32,31,33607,16548,1174.908,17722.908
33,32,33609,11925,846.675,12771.675
34,33,33610,27449,1948.879,29397.879
35,34,33611,21908,1555.468,23463.468
36,35,33612,33457,2375.447,35832.447
37,36,33613,25798,1831.658,27629.658
38,37,33614,32487,2306.577,34793.577
39,38,33615,31254,2219.034,33473.034
40,39,33616,11511,817.281,12328.281
41,40,33617,31316,2223.436,33539.436
42,41,33618,16807,1193.297,18000.297
43,42,33619,26866,1907.486,28773.486
44,43,33620,5231,371.401,5602.401
45,44,33624,25914,1839.894,27753.894
46,45,33625,17850,1267.35,19117.35
47,46,33626,19218,1364.478,20582.478
48,47,33629,15671,1112.641,16783.641
49,48,33634,15191,1078.561,16269.561
50,49,33635,12098,858.958,12956.958
51,50,33637,11980,850.58,12830.58
52,51,33647,46783,3321.593,50104.593
