wardNo,wardIndex,wardName,Households
1,0,33503,57
2,1,33510,10454
3,2,33511,22101
4,3,33527,4738
5,4,33534,5117
6,5,33547,7995
7,6,33548,2605
8,7,33549,6816
9,8,33556,8085
10,9,33558,9047
11,10,33559,6743
12,11,33563,9939
13,12,33565,6158
14,13,33566,7369
15,14,33567,3741
16,15,33569,9801
17,16,33570,9868
18,17,33572,7887
19,18,33573,12916
20,19,33578,19848
21,20,33579,11096
22,21,33584,9217
23,22,33592,3980
24,23,33594,12690
25,24,33596,10019
26,25,33598,6138
27,26,33602,8552
28,27,33603,8544
29,28,33604,15220
30,29,33605,7092
31,30,33606,8406
32,31,33607,10785
33,32,33609,8311
34,33,33610,16240
35,34,33611,14850
36,35,33612,18866
37,36,33613,14554
38,37,33614,18397
39,38,33615,17455
40,39,33616,6797
41,40,33617,18212
42,41,33618,11512
43,42,33619,13208
44,43,33620,11
45,44,33624,15190
46,45,33625,10374
47,46,33626,11519
48,47,33629,10694
49,48,33634,7438
50,49,33635,7111
51,50,33637,6429
52,51,33647,24854
